dataset	method	seed	rmse	score	source	log_file
FD002	D	17	14.4584341049	1243.13525391	final	/CMAPSS-release/logs/FD002_FD002_D/seed17/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_054721_seed17.log
FD002	D	27	13.1076622009	814.316467285	final	/CMAPSS-release/logs/FD002_FD002_D/seed27/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_055633_seed27.log
FD002	D	30	13.6400213242	990.974365234	final	/CMAPSS-release/logs/FD002_FD002_D/seed30/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_060548_seed30.log
FD002	D	33	14.2109050751	1112.51464844	final	/CMAPSS-release/logs/FD002_FD002_D/seed33/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_061416_seed33.log
FD002	D	51	13.1525058746	884.822143555	final	/CMAPSS-release/logs/FD002_FD002_D/seed51/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_062204_seed51.log
FD002	D	62	13.6003351212	882.941040039	final	/CMAPSS-release/logs/FD002_FD002_D/seed62/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_062905_seed62.log
FD002	D	80	13.6216106415	1121.99047852	final	/CMAPSS-release/logs/FD002_FD002_D/seed80/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_063542_seed80.log
FD002	D	88	13.3514995575	986.09161377	final	/CMAPSS-release/logs/FD002_FD002_D/seed88/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_064253_seed88.log
FD002	D	97	13.3705720901	923.944213867	final	/CMAPSS-release/logs/FD002_FD002_D/seed97/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_064949_seed97.log
FD002	E	2	37.1582260132	53488.2265625	final	/CMAPSS-release/logs/FD002_FD002_E/seed2/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_065658_seed2.log
FD002	E	17	36.5060424805	56692.8007812	final	/CMAPSS-release/logs/FD002_FD002_E/seed17/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_070111_seed17.log
FD002	E	27	36.0268554688	63341.796875	final	/CMAPSS-release/logs/FD002_FD002_E/seed27/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_070517_seed27.log
FD002	E	30	35.7389183044	56386.2070312	final	/CMAPSS-release/logs/FD002_FD002_E/seed30/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_070935_seed30.log
FD002	E	33	35.2243766785	37912.1757812	final	/CMAPSS-release/logs/FD002_FD002_E/seed33/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_071329_seed33.log
FD002	E	51	37.4464874268	68738.8828125	final	/CMAPSS-release/logs/FD002_FD002_E/seed51/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_071741_seed51.log
FD002	E	62	36.0613479614	54208.1640625	final	/CMAPSS-release/logs/FD002_FD002_E/seed62/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_072158_seed62.log
FD002	E	80	34.5265274048	40532.609375	final	/CMAPSS-release/logs/FD002_FD002_E/seed80/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_072607_seed80.log
FD002	E	88	35.4229812622	113886.125	final	/CMAPSS-release/logs/FD002_FD002_E/seed88/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_073001_seed88.log
FD002	E	97	33.7895507812	49951.625	final	/CMAPSS-release/logs/FD002_FD002_E/seed97/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_073344_seed97.log
FD003	A	2	14.7935800552	826.088684082	final	/CMAPSS-release/logs/FD003_FD003_A/seed2/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_073719_seed2.log
FD003	A	17	14.9361972809	1131.63928223	final	/CMAPSS-release/logs/FD003_FD003_A/seed17/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_074041_seed17.log
FD003	A	27	14.9428911209	884.358276367	final	/CMAPSS-release/logs/FD003_FD003_A/seed27/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_074351_seed27.log
FD003	A	30	15.0176563263	1140.5690918	final	/CMAPSS-release/logs/FD003_FD003_A/seed30/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_074653_seed30.log
FD003	A	33	14.5120639801	743.219360352	final	/CMAPSS-release/logs/FD003_FD003_A/seed33/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_075022_seed33.log
FD003	A	51	15.2367973328	1218.03833008	final	/CMAPSS-release/logs/FD003_FD003_A/seed51/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_075350_seed51.log
FD003	A	62	15.0900630951	1404.91894531	final	/CMAPSS-release/logs/FD003_FD003_A/seed62/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_075722_seed62.log
FD003	A	80	15.3404693604	1210.68457031	final	/CMAPSS-release/logs/FD003_FD003_A/seed80/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_080119_seed80.log
FD003	A	88	14.3408508301	776.143798828	final	/CMAPSS-release/logs/FD003_FD003_A/seed88/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_080449_seed88.log
FD003	A	97	14.2758541107	1003.34509277	final	/CMAPSS-release/logs/FD003_FD003_A/seed97/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_080808_seed97.log
FD003	B	2	15.7667369843	1377.41992188	final	/CMAPSS-release/logs/FD003_FD003_B/seed2/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_081119_seed2.log
FD003	B	17	15.0910568237	1171.39355469	final	/CMAPSS-release/logs/FD003_FD003_B/seed17/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_081432_seed17.log
FD003	B	27	15.1198549271	1028.8046875	final	/CMAPSS-release/logs/FD003_FD003_B/seed27/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_081741_seed27.log
FD003	B	30	15.5373744965	1264.11413574	final	/CMAPSS-release/logs/FD003_FD003_B/seed30/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_082036_seed30.log
FD003	B	33	14.9769821167	1130.53259277	final	/CMAPSS-release/logs/FD003_FD003_B/seed33/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_082338_seed33.log
FD003	B	51	15.2256364822	1417.93701172	final	/CMAPSS-release/logs/FD003_FD003_B/seed51/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_082650_seed51.log
FD003	B	62	15.514509201	1524.9588623	final	/CMAPSS-release/logs/FD003_FD003_B/seed62/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_083016_seed62.log
FD003	B	80	15.6099328995	1317.1015625	final	/CMAPSS-release/logs/FD003_FD003_B/seed80/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_083323_seed80.log
FD003	B	88	15.7413463593	1192.42211914	final	/CMAPSS-release/logs/FD003_FD003_B/seed88/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_083646_seed88.log
FD003	B	97	15.9937486649	1576.8236084	final	/CMAPSS-release/logs/FD003_FD003_B/seed97/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_084010_seed97.log
FD003	C	2	17.007938385	1583.75842285	final	/CMAPSS-release/logs/FD003_FD003_C/seed2/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_084314_seed2.log
FD003	C	17	17.0833244324	1537.16333008	final	/CMAPSS-release/logs/FD003_FD003_C/seed17/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_084601_seed17.log
FD003	C	27	19.4925632477	1338.83911133	final	/CMAPSS-release/logs/FD003_FD003_C/seed27/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_084826_seed27.log
FD003	C	30	16.6291904449	1324.60754395	final	/CMAPSS-release/logs/FD003_FD003_C/seed30/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_085105_seed30.log
FD003	C	33	16.5299720764	1390.39916992	final	/CMAPSS-release/logs/FD003_FD003_C/seed33/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_085340_seed33.log
FD003	C	51	17.8482494354	1345.81030273	final	/CMAPSS-release/logs/FD003_FD003_C/seed51/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_085622_seed51.log
FD003	C	62	16.9964694977	1343.8425293	final	/CMAPSS-release/logs/FD003_FD003_C/seed62/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_085916_seed62.log
FD003	C	80	16.7005996704	1368.92700195	final	/CMAPSS-release/logs/FD003_FD003_C/seed80/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_090202_seed80.log
FD003	C	88	15.6834306717	1183.65124512	final	/CMAPSS-release/logs/FD003_FD003_C/seed88/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_090455_seed88.log
FD003	C	97	16.3581790924	1150.984375	final	/CMAPSS-release/logs/FD003_FD003_C/seed97/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_090743_seed97.log
FD003	D	2	14.4571781158	750.940307617	final	/CMAPSS-release/logs/FD003_FD003_D/seed2/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_091028_seed2.log
FD003	D	17	14.9843254089	1188.75952148	final	/CMAPSS-release/logs/FD003_FD003_D/seed17/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_091347_seed17.log
FD003	D	27	14.1869659424	832.86517334	final	/CMAPSS-release/logs/FD003_FD003_D/seed27/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_091712_seed27.log
FD003	D	30	14.566742897	1148.36914062	final	/CMAPSS-release/logs/FD003_FD003_D/seed30/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_092034_seed30.log
FD003	D	33	14.4678955078	991.439819336	final	/CMAPSS-release/logs/FD003_FD003_D/seed33/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_092356_seed33.log
