dataset	method	seed	rmse	score	source	log_file
FD004	B	88	17.5725460052	2229.21166992	final	/CMAPSS-release/logs/FD004_FD004_B/seed88/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_115848_seed88.log
FD004	B	97	17.2316989899	1592.24511719	final	/CMAPSS-release/logs/FD004_FD004_B/seed97/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_120619_seed97.log
FD004	C	2	18.3076305389	3232.75634766	final	/CMAPSS-release/logs/FD004_FD004_C/seed2/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_121225_seed2.log
FD004	C	17	18.9874744415	3044.86108398	final	/CMAPSS-release/logs/FD004_FD004_C/seed17/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_121750_seed17.log
FD004	C	27	18.0365886688	1683.5690918	final	/CMAPSS-release/logs/FD004_FD004_C/seed27/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_122349_seed27.log
FD004	C	30	18.6597290039	2801.48510742	final	/CMAPSS-release/logs/FD004_FD004_C/seed30/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_123005_seed30.log
FD004	C	33	18.3824729919	2452.296875	final	/CMAPSS-release/logs/FD004_FD004_C/seed33/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_123610_seed33.log
FD004	C	51	21.8892002106	4144.48876953	final	/CMAPSS-release/logs/FD004_FD004_C/seed51/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_124217_seed51.log
FD004	C	62	17.394033432	1761.93994141	final	/CMAPSS-release/logs/FD004_FD004_C/seed62/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_124825_seed62.log
FD004	C	80	18.2862548828	2137.88574219	final	/CMAPSS-release/logs/FD004_FD004_C/seed80/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_125441_seed80.log
FD004	C	88	18.0816917419	1892.60302734	final	/CMAPSS-release/logs/FD004_FD004_C/seed88/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_130041_seed88.log
