-----FD002-----
关键参数:
学习率: 0.002
学习率调度器: cosine
余弦退火最小学习率(eta_min): 1e-05
序列长度: 30
批大小(batch_size): 128
最大训练轮数(max_epochs): 30
空间GAT: 开启
GAT邻居数(topk): 5
GAT嵌入维度: 16
GAT隐藏维度: 8
GAT输出维度: 16
------------------------------
Epoch: 1, Loss: 25.3659, Rmse_valid: 20.6387, valid_score: 74509.9, , rmse_test: 17.7754, score_test: 2045.6, Learning rate:0.00200000
Epoch: 2, Loss: 19.0297, Rmse_valid: 19.8279, valid_score: 60826.3, , rmse_test: 16.2700, score_test: 1388.0, Learning rate:0.00199455
Epoch: 3, Loss: 17.4715, Rmse_valid: 17.6086, valid_score: 34698.4, , rmse_test: 15.1009, score_test: 1030.2, Learning rate:0.00197826
Epoch: 4, Loss: 16.5800, Rmse_valid: 21.7682, valid_score: 107752.6, , rmse_test: 20.8176, score_test: 5596.6, Learning rate:0.00195130
Epoch: 5, Loss: 16.1269, Rmse_valid: 18.2961, valid_score: 38206.1, , rmse_test: 14.3368, score_test: 791.5, Learning rate:0.00191398
Epoch: 6, Loss: 15.5403, Rmse_valid: 18.2538, valid_score: 49057.5, , rmse_test: 14.1174, score_test: 1108.9, Learning rate:0.00186670
Epoch: 7, Loss: 15.0675, Rmse_valid: 16.9803, valid_score: 32089.7, , rmse_test: 13.9771, score_test: 965.8, Learning rate:0.00180997
Epoch: 8, Loss: 14.8297, Rmse_valid: 17.4467, valid_score: 49230.1, , rmse_test: 14.1711, score_test: 1085.9, Learning rate:0.00174443
Epoch: 9, Loss: 14.3768, Rmse_valid: 17.2163, valid_score: 30294.1, , rmse_test: 14.3239, score_test: 922.1, Learning rate:0.00167078
Epoch: 10, Loss: 14.0722, Rmse_valid: 16.9667, valid_score: 46040.3, , rmse_test: 13.4297, score_test: 942.7, Learning rate:0.00158985
Epoch: 11, Loss: 13.8902, Rmse_valid: 16.5742, valid_score: 41033.8, , rmse_test: 13.6506, score_test: 1098.3, Learning rate:0.00150250
Epoch: 12, Loss: 13.4625, Rmse_valid: 17.0854, valid_score: 41809.0, , rmse_test: 14.4911, score_test: 1229.6, Learning rate:0.00140970
Epoch: 13, Loss: 13.3618, Rmse_valid: 17.1398, valid_score: 49684.5, , rmse_test: 13.6609, score_test: 1219.7, Learning rate:0.00131247
Epoch: 14, Loss: 13.1495, Rmse_valid: 17.3057, valid_score: 37132.7, , rmse_test: 14.5732, score_test: 1379.8, Learning rate:0.00121187
Epoch: 15, Loss: 12.7764, Rmse_valid: 17.1070, valid_score: 52358.5, , rmse_test: 13.8785, score_test: 1220.6, Learning rate:0.00110901
Epoch: 16, Loss: 12.5247, Rmse_valid: 17.4365, valid_score: 33469.0, , rmse_test: 14.1632, score_test: 1075.7, Learning rate:0.00100500
Epoch: 17, Loss: 12.3317, Rmse_valid: 17.1590, valid_score: 34524.8, , rmse_test: 14.1256, score_test: 1152.9, Learning rate:0.00090099
Epoch: 18, Loss: 12.1237, Rmse_valid: 17.4738, valid_score: 58316.2, , rmse_test: 14.5862, score_test: 1592.1, Learning rate:0.00079813
Epoch: 19, Loss: 11.9163, Rmse_valid: 17.2711, valid_score: 39429.7, , rmse_test: 15.1175, score_test: 1641.5, Learning rate:0.00069753
Epoch: 20, Loss: 11.7717, Rmse_valid: 16.8999, valid_score: 44999.3, , rmse_test: 14.1664, score_test: 1549.4, Learning rate:0.00060030
Epoch: 21, Loss: 11.5949, Rmse_valid: 17.3109, valid_score: 35184.0, , rmse_test: 14.0488, score_test: 1358.6, Learning rate:0.00050750
Epoch: 22, Loss: 11.4448, Rmse_valid: 17.1951, valid_score: 45519.6, , rmse_test: 13.8924, score_test: 1306.9, Learning rate:0.00042015
Epoch: 23, Loss: 11.3318, Rmse_valid: 17.2911, valid_score: 47483.6, , rmse_test: 14.1103, score_test: 1508.6, Learning rate:0.00033922
Epoch: 24, Loss: 11.2360, Rmse_valid: 17.5724, valid_score: 35021.6, , rmse_test: 13.8869, score_test: 1239.4, Learning rate:0.00026557
Epoch: 25, Loss: 11.1477, Rmse_valid: 17.2990, valid_score: 43373.5, , rmse_test: 13.9396, score_test: 1345.0, Learning rate:0.00020003
Epoch: 26, Loss: 11.0812, Rmse_valid: 17.4891, valid_score: 38772.5, , rmse_test: 13.9541, score_test: 1268.2, Learning rate:0.00014330
Epoch: 27, Loss: 11.0240, Rmse_valid: 17.4050, valid_score: 41518.9, , rmse_test: 13.9905, score_test: 1344.7, Learning rate:0.00009602
Epoch: 28, Loss: 10.9837, Rmse_valid: 17.6337, valid_score: 39322.4, , rmse_test: 14.0848, score_test: 1350.3, Learning rate:0.00005870
Epoch: 29, Loss: 10.9554, Rmse_valid: 17.4487, valid_score: 41233.0, , rmse_test: 14.0112, score_test: 1331.6, Learning rate:0.00003174
Epoch: 30, Loss: 10.9406, Rmse_valid: 17.4245, valid_score: 40515.0, , rmse_test: 14.0722, score_test: 1392.4, Learning rate:0.00001545
