-----EncoderDecoder-----
-----FD004-----embed8topk7
Epoch: 1, Loss: 26.1961, Rmse_valid: 21.2697, valid_score: 83352.3, , rmse_test: 24.5309, score_test: 8864.7, Learning rate:0.00200000
Epoch: 2, Loss: 21.4874, Rmse_valid: 19.6790, valid_score: 56841.4, , rmse_test: 22.0477, score_test: 3834.7, Learning rate:0.00200000
Epoch: 3, Loss: 20.1655, Rmse_valid: 18.7475, valid_score: 43779.3, , rmse_test: 19.7496, score_test: 2459.0, Learning rate:0.00200000
Epoch: 4, Loss: 19.1241, Rmse_valid: 18.8052, valid_score: 44814.8, , rmse_test: 19.0923, score_test: 2885.0, Learning rate:0.00200000
Epoch: 5, Loss: 18.3906, Rmse_valid: 19.2613, valid_score: 48452.9, , rmse_test: 18.6862, score_test: 1883.6, Learning rate:0.00200000
Epoch: 6, Loss: 17.7776, Rmse_valid: 20.1768, valid_score: 68469.8, , rmse_test: 22.2340, score_test: 6291.4, Learning rate:0.00200000
Epoch: 7, Loss: 17.3225, Rmse_valid: 17.1483, valid_score: 38336.4, , rmse_test: 19.7113, score_test: 3090.6, Learning rate:0.00200000
Epoch: 8, Loss: 16.8602, Rmse_valid: 18.0769, valid_score: 57700.8, , rmse_test: 18.9635, score_test: 4325.9, Learning rate:0.00200000
Epoch: 9, Loss: 16.4610, Rmse_valid: 19.1295, valid_score: 42151.0, , rmse_test: 18.1070, score_test: 1439.8, Learning rate:0.00200000
Epoch: 10, Loss: 16.2047, Rmse_valid: 19.9130, valid_score: 92386.8, , rmse_test: 19.5488, score_test: 4029.3, Learning rate:0.00200000
Epoch: 11, Loss: 14.5160, Rmse_valid: 18.1374, valid_score: 50583.3, , rmse_test: 18.0930, score_test: 2185.7, Learning rate:0.00020000
Epoch: 12, Loss: 14.3253, Rmse_valid: 18.3746, valid_score: 53374.6, , rmse_test: 18.0526, score_test: 2033.5, Learning rate:0.00020000
Epoch: 13, Loss: 14.2087, Rmse_valid: 18.1288, valid_score: 49076.5, , rmse_test: 18.2588, score_test: 2338.6, Learning rate:0.00020000
Epoch: 14, Loss: 14.1322, Rmse_valid: 18.6266, valid_score: 57335.7, , rmse_test: 18.0670, score_test: 2177.9, Learning rate:0.00020000
Epoch: 15, Loss: 14.0494, Rmse_valid: 18.5125, valid_score: 56578.0, , rmse_test: 18.0391, score_test: 2139.0, Learning rate:0.00020000
Epoch: 16, Loss: 13.9863, Rmse_valid: 18.1117, valid_score: 52290.4, , rmse_test: 18.5948, score_test: 2595.4, Learning rate:0.00020000
Epoch: 17, Loss: 13.9039, Rmse_valid: 18.1995, valid_score: 48627.8, , rmse_test: 17.9032, score_test: 1875.1, Learning rate:0.00020000
Epoch: 18, Loss: 13.8379, Rmse_valid: 18.7343, valid_score: 56639.0, , rmse_test: 17.9592, score_test: 2171.0, Learning rate:0.00020000
Epoch: 19, Loss: 13.7883, Rmse_valid: 18.2657, valid_score: 54758.7, , rmse_test: 18.4569, score_test: 2578.0, Learning rate:0.00020000
Epoch: 20, Loss: 13.7232, Rmse_valid: 18.7290, valid_score: 62782.5, , rmse_test: 18.2125, score_test: 2482.6, Learning rate:0.00020000
Epoch: 21, Loss: 13.5910, Rmse_valid: 18.3939, valid_score: 54753.7, , rmse_test: 18.0363, score_test: 2192.3, Learning rate:0.00002000
Epoch: 22, Loss: 13.5701, Rmse_valid: 18.3736, valid_score: 55920.5, , rmse_test: 18.1916, score_test: 2404.4, Learning rate:0.00002000
Epoch: 23, Loss: 13.5630, Rmse_valid: 18.4841, valid_score: 54519.8, , rmse_test: 17.9881, score_test: 2207.0, Learning rate:0.00002000
Epoch: 24, Loss: 13.5580, Rmse_valid: 18.4165, valid_score: 56257.8, , rmse_test: 18.1287, score_test: 2287.4, Learning rate:0.00002000
Epoch: 25, Loss: 13.5494, Rmse_valid: 18.4752, valid_score: 56482.9, , rmse_test: 17.9957, score_test: 2209.0, Learning rate:0.00002000
Epoch: 26, Loss: 13.5443, Rmse_valid: 18.2906, valid_score: 55390.8, , rmse_test: 18.1121, score_test: 2319.4, Learning rate:0.00002000
Epoch: 27, Loss: 13.5357, Rmse_valid: 18.4447, valid_score: 56895.4, , rmse_test: 18.0407, score_test: 2253.8, Learning rate:0.00002000
Epoch: 28, Loss: 13.5326, Rmse_valid: 18.4945, valid_score: 55599.5, , rmse_test: 18.1359, score_test: 2301.1, Learning rate:0.00002000
Epoch: 29, Loss: 13.5252, Rmse_valid: 18.5349, valid_score: 57832.4, , rmse_test: 18.1650, score_test: 2398.9, Learning rate:0.00002000
Epoch: 30, Loss: 13.5212, Rmse_valid: 18.7449, valid_score: 57944.4, , rmse_test: 18.0615, score_test: 2277.8, Learning rate:0.00002000
