-----FD002-----
关键参数:
学习率: 0.002
学习率调度器: step
Step步长(step_size): 10
Step衰减系数(gamma): 0.1
序列长度: 30
批大小(batch_size): 128
最大训练轮数(max_epochs): 30
空间GAT: 开启
GAT邻居数(topk): 5
GAT嵌入维度: 16
GAT隐藏维度: 8
GAT输出维度: 16
------------------------------
Epoch: 1, Loss: 25.3659, Rmse_valid: 20.6387, valid_score: 74509.9, , rmse_test: 17.7754, score_test: 2045.6, Learning rate:0.00200000
Epoch: 2, Loss: 19.0445, Rmse_valid: 19.9733, valid_score: 65004.2, , rmse_test: 16.4524, score_test: 1509.7, Learning rate:0.00200000
Epoch: 3, Loss: 17.5038, Rmse_valid: 17.7040, valid_score: 36912.9, , rmse_test: 14.8303, score_test: 1004.6, Learning rate:0.00200000
Epoch: 4, Loss: 16.6341, Rmse_valid: 21.8068, valid_score: 105625.0, , rmse_test: 20.7654, score_test: 5220.2, Learning rate:0.00200000
Epoch: 5, Loss: 16.2301, Rmse_valid: 18.4574, valid_score: 38224.7, , rmse_test: 14.4263, score_test: 788.5, Learning rate:0.00200000
Epoch: 6, Loss: 15.7092, Rmse_valid: 18.1457, valid_score: 44851.5, , rmse_test: 13.9781, score_test: 1029.6, Learning rate:0.00200000
Epoch: 7, Loss: 15.3005, Rmse_valid: 16.9416, valid_score: 31181.5, , rmse_test: 14.0796, score_test: 978.7, Learning rate:0.00200000
Epoch: 8, Loss: 15.1068, Rmse_valid: 17.5921, valid_score: 51848.1, , rmse_test: 14.1724, score_test: 1067.2, Learning rate:0.00200000
Epoch: 9, Loss: 14.7412, Rmse_valid: 17.7408, valid_score: 31246.4, , rmse_test: 14.6140, score_test: 922.6, Learning rate:0.00200000
Epoch: 10, Loss: 14.5475, Rmse_valid: 17.1749, valid_score: 47951.6, , rmse_test: 13.4660, score_test: 905.1, Learning rate:0.00200000
Epoch: 11, Loss: 12.7413, Rmse_valid: 16.5241, valid_score: 38087.6, , rmse_test: 13.0111, score_test: 882.5, Learning rate:0.00020000
Epoch: 12, Loss: 12.5867, Rmse_valid: 16.5100, valid_score: 41447.9, , rmse_test: 13.1129, score_test: 901.5, Learning rate:0.00020000
Epoch: 13, Loss: 12.5213, Rmse_valid: 16.6538, valid_score: 38093.6, , rmse_test: 12.9342, score_test: 861.4, Learning rate:0.00020000
Epoch: 14, Loss: 12.4595, Rmse_valid: 16.4105, valid_score: 31602.2, , rmse_test: 12.8230, score_test: 824.3, Learning rate:0.00020000
Epoch: 15, Loss: 12.3934, Rmse_valid: 16.7281, valid_score: 37464.0, , rmse_test: 13.0104, score_test: 873.5, Learning rate:0.00020000
Epoch: 16, Loss: 12.3474, Rmse_valid: 16.7590, valid_score: 31063.9, , rmse_test: 13.0678, score_test: 790.2, Learning rate:0.00020000
Epoch: 17, Loss: 12.3060, Rmse_valid: 16.5379, valid_score: 35271.9, , rmse_test: 12.9337, score_test: 819.3, Learning rate:0.00020000
Epoch: 18, Loss: 12.2623, Rmse_valid: 16.7535, valid_score: 37876.1, , rmse_test: 13.1422, score_test: 949.1, Learning rate:0.00020000
Epoch: 19, Loss: 12.2151, Rmse_valid: 16.6438, valid_score: 37382.4, , rmse_test: 13.3435, score_test: 986.3, Learning rate:0.00020000
Epoch: 20, Loss: 12.1755, Rmse_valid: 16.3150, valid_score: 38773.2, , rmse_test: 13.1154, score_test: 961.4, Learning rate:0.00020000
Epoch: 21, Loss: 12.0608, Rmse_valid: 16.6697, valid_score: 35419.7, , rmse_test: 13.1084, score_test: 893.8, Learning rate:0.00002000
Epoch: 22, Loss: 12.0346, Rmse_valid: 16.5789, valid_score: 36189.1, , rmse_test: 13.0443, score_test: 894.8, Learning rate:0.00002000
Epoch: 23, Loss: 12.0315, Rmse_valid: 16.5588, valid_score: 34827.2, , rmse_test: 13.1490, score_test: 933.0, Learning rate:0.00002000
Epoch: 24, Loss: 12.0261, Rmse_valid: 16.5521, valid_score: 34854.3, , rmse_test: 13.1335, score_test: 923.9, Learning rate:0.00002000
Epoch: 25, Loss: 12.0190, Rmse_valid: 16.5112, valid_score: 34474.1, , rmse_test: 13.0625, score_test: 905.0, Learning rate:0.00002000
Epoch: 26, Loss: 12.0155, Rmse_valid: 16.6428, valid_score: 34446.2, , rmse_test: 13.0498, score_test: 884.1, Learning rate:0.00002000
Epoch: 27, Loss: 12.0104, Rmse_valid: 16.4911, valid_score: 34067.7, , rmse_test: 13.0822, score_test: 903.0, Learning rate:0.00002000
Epoch: 28, Loss: 12.0050, Rmse_valid: 16.8114, valid_score: 34263.0, , rmse_test: 13.1625, score_test: 906.6, Learning rate:0.00002000
Epoch: 29, Loss: 11.9994, Rmse_valid: 16.6066, valid_score: 35208.7, , rmse_test: 13.0507, score_test: 891.8, Learning rate:0.00002000
Epoch: 30, Loss: 11.9952, Rmse_valid: 16.6205, valid_score: 34941.9, , rmse_test: 13.1571, score_test: 925.1, Learning rate:0.00002000
