-----EncoderDecoder-----
-----FD003-----embed16topk5
Epoch: 1, Loss: 23.7434, Rmse_valid: 16.5304, valid_score: 13516.2, , rmse_test: 21.1273, score_test: 1738.8, Learning rate:0.00200000
Epoch: 2, Loss: 16.8373, Rmse_valid: 13.7180, valid_score: 8354.6, , rmse_test: 16.3421, score_test: 1068.3, Learning rate:0.00200000
Epoch: 3, Loss: 13.9757, Rmse_valid: 10.9103, valid_score: 6844.7, , rmse_test: 15.8296, score_test: 1165.9, Learning rate:0.00200000
Epoch: 4, Loss: 12.4180, Rmse_valid: 11.4510, valid_score: 7604.5, , rmse_test: 16.5089, score_test: 1506.4, Learning rate:0.00200000
Epoch: 5, Loss: 11.9767, Rmse_valid: 12.5267, valid_score: 6853.6, , rmse_test: 15.1320, score_test: 750.3, Learning rate:0.00200000
Epoch: 6, Loss: 11.3846, Rmse_valid: 10.6419, valid_score: 7634.3, , rmse_test: 16.1138, score_test: 1109.6, Learning rate:0.00200000
Epoch: 7, Loss: 11.1041, Rmse_valid: 10.1507, valid_score: 7142.4, , rmse_test: 15.5072, score_test: 1075.3, Learning rate:0.00200000
Epoch: 8, Loss: 10.8882, Rmse_valid: 10.2737, valid_score: 6038.7, , rmse_test: 15.0832, score_test: 776.6, Learning rate:0.00200000
Epoch: 9, Loss: 10.4927, Rmse_valid: 10.6268, valid_score: 5674.3, , rmse_test: 14.6816, score_test: 763.0, Learning rate:0.00200000
Epoch: 10, Loss: 10.2292, Rmse_valid: 10.4984, valid_score: 8011.7, , rmse_test: 16.3752, score_test: 1149.4, Learning rate:0.00200000
Epoch: 11, Loss: 8.9205, Rmse_valid: 10.1640, valid_score: 6711.0, , rmse_test: 15.0974, score_test: 862.5, Learning rate:0.00020000
Epoch: 12, Loss: 8.7583, Rmse_valid: 9.8612, valid_score: 6582.1, , rmse_test: 15.3474, score_test: 896.5, Learning rate:0.00020000
Epoch: 13, Loss: 8.6714, Rmse_valid: 10.3309, valid_score: 6758.2, , rmse_test: 15.1164, score_test: 793.7, Learning rate:0.00020000
Epoch: 14, Loss: 8.6076, Rmse_valid: 10.0774, valid_score: 6995.1, , rmse_test: 15.5798, score_test: 941.7, Learning rate:0.00020000
Epoch: 15, Loss: 8.5435, Rmse_valid: 9.9522, valid_score: 6620.9, , rmse_test: 15.4574, score_test: 883.6, Learning rate:0.00020000
Epoch: 16, Loss: 8.4822, Rmse_valid: 9.9015, valid_score: 6343.7, , rmse_test: 15.2866, score_test: 863.9, Learning rate:0.00020000
Epoch: 17, Loss: 8.4296, Rmse_valid: 10.0581, valid_score: 6231.1, , rmse_test: 15.0220, score_test: 749.8, Learning rate:0.00020000
Epoch: 18, Loss: 8.3787, Rmse_valid: 9.8015, valid_score: 5612.5, , rmse_test: 15.0283, score_test: 733.6, Learning rate:0.00020000
Epoch: 19, Loss: 8.3294, Rmse_valid: 9.9008, valid_score: 6042.7, , rmse_test: 15.1843, score_test: 773.8, Learning rate:0.00020000
Epoch: 20, Loss: 8.2681, Rmse_valid: 9.8890, valid_score: 6036.9, , rmse_test: 14.9694, score_test: 739.9, Learning rate:0.00020000
Epoch: 21, Loss: 8.1887, Rmse_valid: 9.9144, valid_score: 6405.3, , rmse_test: 15.2926, score_test: 826.2, Learning rate:0.00002000
Epoch: 22, Loss: 8.1667, Rmse_valid: 9.9033, valid_score: 6375.9, , rmse_test: 15.3244, score_test: 843.0, Learning rate:0.00002000
Epoch: 23, Loss: 8.1589, Rmse_valid: 9.9278, valid_score: 6279.0, , rmse_test: 15.2406, score_test: 813.7, Learning rate:0.00002000
Epoch: 24, Loss: 8.1541, Rmse_valid: 9.9278, valid_score: 6386.8, , rmse_test: 15.3085, score_test: 829.2, Learning rate:0.00002000
Epoch: 25, Loss: 8.1487, Rmse_valid: 9.7645, valid_score: 6231.7, , rmse_test: 15.2887, score_test: 836.8, Learning rate:0.00002000
Epoch: 26, Loss: 8.1443, Rmse_valid: 9.9502, valid_score: 6366.0, , rmse_test: 15.2827, score_test: 806.7, Learning rate:0.00002000
Epoch: 27, Loss: 8.1401, Rmse_valid: 9.9204, valid_score: 6347.1, , rmse_test: 15.3294, score_test: 829.0, Learning rate:0.00002000
Epoch: 28, Loss: 8.1338, Rmse_valid: 9.8974, valid_score: 6468.5, , rmse_test: 15.3610, score_test: 831.9, Learning rate:0.00002000
Epoch: 29, Loss: 8.1282, Rmse_valid: 9.8607, valid_score: 6409.3, , rmse_test: 15.3849, score_test: 844.9, Learning rate:0.00002000
Epoch: 30, Loss: 8.1233, Rmse_valid: 9.8988, valid_score: 6396.6, , rmse_test: 15.3239, score_test: 824.3, Learning rate:0.00002000
