dataset	temporal_attention	gat_embed_dim	gat_topk	return_code	rmse_final	score	run_log
FD001	on	8	5	0	15.735945701599121	506.0989990234375	logs/temporal_seed999_FD001_on_20260415_132328.log
FD001	off	8	5	0	13.994284629821777	325.8619689941406	logs/temporal_seed999_FD001_off_20260415_132328.log
FD002	on	16	5	0	13.752640724182129	1098.05859375	logs/temporal_seed999_FD002_on_20260415_132328.log
FD002	off	16	5	0	14.032092094421387	1034.8927001953125	logs/temporal_seed999_FD002_off_20260415_132328.log
FD003	on	8	5	0	15.145296096801758	995.7486572265625	logs/temporal_seed999_FD003_on_20260415_132328.log
FD003	off	8	5	0	14.701700210571289	942.5679321289062	logs/temporal_seed999_FD003_off_20260415_132328.log
FD004	on	16	7	0	18.915239334106445	2538.5341796875	logs/temporal_seed999_FD004_on_20260415_132328.log
FD004	off	16	7	0	17.810720443725586	2183.29052734375	logs/temporal_seed999_FD004_off_20260415_132328.log
