-----FD002-----
关键参数:
学习率: 0.001
学习率调度器: cosine
余弦退火最小学习率(eta_min): 1e-05
序列长度: 30
批大小(batch_size): 128
最大训练轮数(max_epochs): 30
空间GAT: 开启
GAT邻居数(topk): 5
GAT嵌入维度: 16
GAT隐藏维度: 8
GAT输出维度: 16
------------------------------
Epoch: 1, Loss: 27.5210, Rmse_valid: 23.3241, valid_score: 195339.1, , rmse_test: 22.2227, score_test: 11328.4, Learning rate:0.00100000
Epoch: 2, Loss: 22.1777, Rmse_valid: 21.6578, valid_score: 77664.9, , rmse_test: 18.5840, score_test: 1956.6, Learning rate:0.00099729
Epoch: 3, Loss: 18.9430, Rmse_valid: 18.3534, valid_score: 37337.8, , rmse_test: 15.6739, score_test: 1159.9, Learning rate:0.00098918
Epoch: 4, Loss: 17.3502, Rmse_valid: 19.5327, valid_score: 56660.0, , rmse_test: 18.0741, score_test: 2229.7, Learning rate:0.00097577
Epoch: 5, Loss: 16.5966, Rmse_valid: 17.8520, valid_score: 36754.1, , rmse_test: 15.0425, score_test: 932.8, Learning rate:0.00095721
Epoch: 6, Loss: 16.0878, Rmse_valid: 17.7638, valid_score: 32550.3, , rmse_test: 14.1704, score_test: 944.3, Learning rate:0.00093368
Epoch: 7, Loss: 15.4808, Rmse_valid: 17.1185, valid_score: 33277.9, , rmse_test: 14.4229, score_test: 1146.1, Learning rate:0.00090546
Epoch: 8, Loss: 15.1161, Rmse_valid: 17.3665, valid_score: 39820.3, , rmse_test: 14.2185, score_test: 1183.1, Learning rate:0.00087286
Epoch: 9, Loss: 14.6968, Rmse_valid: 17.3111, valid_score: 25853.7, , rmse_test: 14.2782, score_test: 861.6, Learning rate:0.00083622
Epoch: 10, Loss: 14.4054, Rmse_valid: 16.7736, valid_score: 33355.6, , rmse_test: 13.8901, score_test: 1126.4, Learning rate:0.00079595
Epoch: 11, Loss: 14.1237, Rmse_valid: 16.1840, valid_score: 28202.2, , rmse_test: 13.7103, score_test: 1077.8, Learning rate:0.00075250
Epoch: 12, Loss: 13.7923, Rmse_valid: 16.1653, valid_score: 29894.8, , rmse_test: 13.7388, score_test: 1101.6, Learning rate:0.00070633
Epoch: 13, Loss: 13.6688, Rmse_valid: 16.3075, valid_score: 31959.4, , rmse_test: 13.4751, score_test: 1071.5, Learning rate:0.00065796
Epoch: 14, Loss: 13.4885, Rmse_valid: 15.8812, valid_score: 24621.9, , rmse_test: 13.7664, score_test: 1082.6, Learning rate:0.00060792
Epoch: 15, Loss: 13.2156, Rmse_valid: 16.1656, valid_score: 36305.6, , rmse_test: 13.8004, score_test: 1284.6, Learning rate:0.00055674
Epoch: 16, Loss: 13.0563, Rmse_valid: 16.4400, valid_score: 27097.9, , rmse_test: 13.3138, score_test: 896.3, Learning rate:0.00050500
Epoch: 17, Loss: 12.9004, Rmse_valid: 16.1520, valid_score: 29259.7, , rmse_test: 13.9836, score_test: 1093.3, Learning rate:0.00045326
Epoch: 18, Loss: 12.7617, Rmse_valid: 17.0005, valid_score: 48237.6, , rmse_test: 14.4424, score_test: 1563.2, Learning rate:0.00040208
Epoch: 19, Loss: 12.6174, Rmse_valid: 16.0692, valid_score: 30366.4, , rmse_test: 13.9843, score_test: 1307.0, Learning rate:0.00035204
Epoch: 20, Loss: 12.5376, Rmse_valid: 15.8269, valid_score: 28906.7, , rmse_test: 13.6104, score_test: 1171.3, Learning rate:0.00030367
Epoch: 21, Loss: 12.4052, Rmse_valid: 16.1155, valid_score: 25329.1, , rmse_test: 13.6358, score_test: 1085.4, Learning rate:0.00025750
Epoch: 22, Loss: 12.3231, Rmse_valid: 15.7709, valid_score: 29564.6, , rmse_test: 13.4124, score_test: 1088.8, Learning rate:0.00021405
Epoch: 23, Loss: 12.2373, Rmse_valid: 16.2507, valid_score: 31720.6, , rmse_test: 13.7855, score_test: 1204.6, Learning rate:0.00017378
Epoch: 24, Loss: 12.1780, Rmse_valid: 15.8642, valid_score: 22842.3, , rmse_test: 13.4923, score_test: 983.2, Learning rate:0.00013714
Epoch: 25, Loss: 12.1198, Rmse_valid: 16.1093, valid_score: 28537.1, , rmse_test: 13.4173, score_test: 1050.2, Learning rate:0.00010454
Epoch: 26, Loss: 12.0755, Rmse_valid: 15.8184, valid_score: 25360.2, , rmse_test: 13.3698, score_test: 989.9, Learning rate:0.00007632
Epoch: 27, Loss: 12.0395, Rmse_valid: 16.0440, valid_score: 26527.8, , rmse_test: 13.4517, score_test: 1009.7, Learning rate:0.00005279
Epoch: 28, Loss: 12.0153, Rmse_valid: 16.2077, valid_score: 27636.2, , rmse_test: 13.5956, score_test: 1068.3, Learning rate:0.00003423
Epoch: 29, Loss: 11.9955, Rmse_valid: 15.9117, valid_score: 27287.9, , rmse_test: 13.4719, score_test: 1047.8, Learning rate:0.00002082
Epoch: 30, Loss: 11.9851, Rmse_valid: 15.8863, valid_score: 26754.4, , rmse_test: 13.5018, score_test: 1081.8, Learning rate:0.00001271
