Method	RMSE_FD001	RMSE_FD002	RMSE_FD003	RMSE_FD004	SCORE_FD001	SCORE_FD002	SCORE_FD003	SCORE_FD004
A	14.5523271561	13.4080091476	14.8486423492	18.1581611633	367.5008636475	907.1589904785	1033.9005432129	2300.9609619141
B	14.2427167892	13.2578745842	15.4577178955	17.4260129929	344.9068908691	984.0568725586	1300.1508056641	1941.9539062500
C	15.0084259987	13.5785208702	17.0329916954	18.7095510483	418.3791198730	984.7100524902	1356.7983032227	2598.4029541016
D	14.1674334526	13.5996124268	14.5799763680	17.9617078781	345.9424011230	996.3147094727	989.4106079102	2042.2691406250
E	16.6592668533	35.7901313782	15.7194087982	39.9704757690	730.7228210449	59513.8613281250	1081.9264831543	108294.8562500000
F	14.1333012581	13.2532615662	15.2819832802	17.2075563431	342.8312713623	988.3957763672	1219.8731689453	1834.1090332031
