-----EncoderDecoder-----
-----FD003-----embed8topk7
Epoch: 1, Loss: 24.1486, Rmse_valid: 17.6919, valid_score: 23706.3, , rmse_test: 24.2879, score_test: 3900.6, Learning rate:0.00200000
Epoch: 2, Loss: 17.8082, Rmse_valid: 14.6905, valid_score: 13732.7, , rmse_test: 23.0824, score_test: 3470.2, Learning rate:0.00200000
Epoch: 3, Loss: 14.4060, Rmse_valid: 12.9468, valid_score: 6195.9, , rmse_test: 16.4565, score_test: 972.8, Learning rate:0.00200000
Epoch: 4, Loss: 12.6535, Rmse_valid: 11.4361, valid_score: 5113.2, , rmse_test: 14.9015, score_test: 860.5, Learning rate:0.00200000
Epoch: 5, Loss: 11.7476, Rmse_valid: 14.6237, valid_score: 6472.8, , rmse_test: 16.2725, score_test: 785.1, Learning rate:0.00200000
Epoch: 6, Loss: 11.3386, Rmse_valid: 11.1115, valid_score: 4500.0, , rmse_test: 16.0597, score_test: 931.8, Learning rate:0.00200000
Epoch: 7, Loss: 10.7847, Rmse_valid: 10.2137, valid_score: 5122.2, , rmse_test: 15.1038, score_test: 862.5, Learning rate:0.00200000
Epoch: 8, Loss: 10.6373, Rmse_valid: 10.0732, valid_score: 4782.5, , rmse_test: 16.1504, score_test: 1081.1, Learning rate:0.00200000
Epoch: 9, Loss: 10.1712, Rmse_valid: 10.9380, valid_score: 4799.8, , rmse_test: 15.4926, score_test: 790.9, Learning rate:0.00200000
Epoch: 10, Loss: 10.0502, Rmse_valid: 9.9780, valid_score: 4248.6, , rmse_test: 15.9816, score_test: 1109.0, Learning rate:0.00200000
Epoch: 11, Loss: 8.7229, Rmse_valid: 9.4682, valid_score: 4251.7, , rmse_test: 15.5827, score_test: 986.4, Learning rate:0.00020000
Epoch: 12, Loss: 8.6026, Rmse_valid: 9.4885, valid_score: 4285.4, , rmse_test: 15.5171, score_test: 951.8, Learning rate:0.00020000
Epoch: 13, Loss: 8.5275, Rmse_valid: 9.1574, valid_score: 4210.4, , rmse_test: 15.7435, score_test: 925.5, Learning rate:0.00020000
Epoch: 14, Loss: 8.4792, Rmse_valid: 9.3026, valid_score: 4224.4, , rmse_test: 15.6880, score_test: 911.7, Learning rate:0.00020000
Epoch: 15, Loss: 8.4293, Rmse_valid: 9.1165, valid_score: 4375.6, , rmse_test: 15.9430, score_test: 1058.1, Learning rate:0.00020000
Epoch: 16, Loss: 8.3687, Rmse_valid: 9.0725, valid_score: 4181.2, , rmse_test: 15.5757, score_test: 982.1, Learning rate:0.00020000
Epoch: 17, Loss: 8.3214, Rmse_valid: 9.0639, valid_score: 3996.7, , rmse_test: 15.8382, score_test: 1137.3, Learning rate:0.00020000
Epoch: 18, Loss: 8.2734, Rmse_valid: 9.2301, valid_score: 4373.0, , rmse_test: 15.6612, score_test: 1090.4, Learning rate:0.00020000
Epoch: 19, Loss: 8.2250, Rmse_valid: 9.2027, valid_score: 4112.5, , rmse_test: 15.8081, score_test: 1030.3, Learning rate:0.00020000
Epoch: 20, Loss: 8.1902, Rmse_valid: 8.8654, valid_score: 3972.9, , rmse_test: 15.8452, score_test: 1130.0, Learning rate:0.00020000
Epoch: 21, Loss: 8.0789, Rmse_valid: 9.1094, valid_score: 4073.7, , rmse_test: 15.6383, score_test: 1044.9, Learning rate:0.00002000
Epoch: 22, Loss: 8.0589, Rmse_valid: 9.0193, valid_score: 4090.8, , rmse_test: 15.6805, score_test: 1052.9, Learning rate:0.00002000
Epoch: 23, Loss: 8.0550, Rmse_valid: 9.1285, valid_score: 4071.3, , rmse_test: 15.6696, score_test: 1063.2, Learning rate:0.00002000
Epoch: 24, Loss: 8.0498, Rmse_valid: 9.0408, valid_score: 4033.8, , rmse_test: 15.6648, score_test: 1051.5, Learning rate:0.00002000
Epoch: 25, Loss: 8.0432, Rmse_valid: 9.0809, valid_score: 4056.1, , rmse_test: 15.6740, score_test: 1059.1, Learning rate:0.00002000
Epoch: 26, Loss: 8.0396, Rmse_valid: 9.0733, valid_score: 4023.9, , rmse_test: 15.6831, score_test: 1061.3, Learning rate:0.00002000
Epoch: 27, Loss: 8.0320, Rmse_valid: 9.0246, valid_score: 4073.6, , rmse_test: 15.7391, score_test: 1072.0, Learning rate:0.00002000
Epoch: 28, Loss: 8.0270, Rmse_valid: 8.9979, valid_score: 4095.0, , rmse_test: 15.7826, score_test: 1095.6, Learning rate:0.00002000
Epoch: 29, Loss: 8.0188, Rmse_valid: 9.0092, valid_score: 4021.0, , rmse_test: 15.7128, score_test: 1053.6, Learning rate:0.00002000
Epoch: 30, Loss: 8.0172, Rmse_valid: 9.0559, valid_score: 4045.0, , rmse_test: 15.7204, score_test: 1072.7, Learning rate:0.00002000
