-----FD003-----
关键参数:
学习率: 0.002
学习率调度器: cosine
余弦退火最小学习率(eta_min): 1e-05
序列长度: 30
批大小(batch_size): 128
最大训练轮数(max_epochs): 30
空间GAT: 开启
GAT邻居数(topk): 5
GAT嵌入维度: 8
GAT隐藏维度: 8
GAT输出维度: 16
------------------------------
Epoch: 1, Loss: 24.4870, Rmse_valid: 17.5923, valid_score: 25077.9, , rmse_test: 24.2274, score_test: 3873.1, Learning rate:0.00200000
Epoch: 2, Loss: 18.3940, Rmse_valid: 14.1548, valid_score: 13728.0, , rmse_test: 20.4685, score_test: 2593.3, Learning rate:0.00199455
Epoch: 3, Loss: 14.8523, Rmse_valid: 12.5413, valid_score: 6636.4, , rmse_test: 18.4650, score_test: 1315.7, Learning rate:0.00197826
Epoch: 4, Loss: 13.3009, Rmse_valid: 12.1009, valid_score: 6092.6, , rmse_test: 14.9009, score_test: 995.6, Learning rate:0.00195130
Epoch: 5, Loss: 12.1352, Rmse_valid: 12.4823, valid_score: 5589.6, , rmse_test: 14.6865, score_test: 859.8, Learning rate:0.00191398
Epoch: 6, Loss: 11.7066, Rmse_valid: 11.7353, valid_score: 4918.2, , rmse_test: 14.3672, score_test: 775.1, Learning rate:0.00186670
Epoch: 7, Loss: 10.9640, Rmse_valid: 10.8491, valid_score: 5856.7, , rmse_test: 14.5754, score_test: 789.5, Learning rate:0.00180997
Epoch: 8, Loss: 10.6788, Rmse_valid: 10.3169, valid_score: 4867.7, , rmse_test: 14.1685, score_test: 828.7, Learning rate:0.00174443
Epoch: 9, Loss: 10.1352, Rmse_valid: 11.2078, valid_score: 5496.6, , rmse_test: 14.3678, score_test: 656.7, Learning rate:0.00167078
Epoch: 10, Loss: 9.9250, Rmse_valid: 10.0286, valid_score: 4385.8, , rmse_test: 14.0606, score_test: 924.6, Learning rate:0.00158985
Epoch: 11, Loss: 9.7343, Rmse_valid: 9.8995, valid_score: 5891.1, , rmse_test: 14.7026, score_test: 873.2, Learning rate:0.00150250
Epoch: 12, Loss: 9.3957, Rmse_valid: 10.5611, valid_score: 4408.0, , rmse_test: 13.5335, score_test: 557.2, Learning rate:0.00140970
Epoch: 13, Loss: 9.1641, Rmse_valid: 9.3490, valid_score: 6194.0, , rmse_test: 14.6945, score_test: 910.5, Learning rate:0.00131247
Epoch: 14, Loss: 8.9153, Rmse_valid: 9.3362, valid_score: 5867.8, , rmse_test: 14.3886, score_test: 858.4, Learning rate:0.00121187
Epoch: 15, Loss: 8.7363, Rmse_valid: 10.0746, valid_score: 7503.0, , rmse_test: 15.8765, score_test: 1427.9, Learning rate:0.00110901
Epoch: 16, Loss: 8.5066, Rmse_valid: 9.0046, valid_score: 6091.9, , rmse_test: 14.6342, score_test: 946.3, Learning rate:0.00100500
Epoch: 17, Loss: 8.2719, Rmse_valid: 9.3761, valid_score: 6721.8, , rmse_test: 15.1089, score_test: 1204.3, Learning rate:0.00090099
Epoch: 18, Loss: 8.1408, Rmse_valid: 9.6490, valid_score: 7538.7, , rmse_test: 15.1270, score_test: 1207.3, Learning rate:0.00079813
Epoch: 19, Loss: 7.9961, Rmse_valid: 9.1002, valid_score: 6315.7, , rmse_test: 14.9611, score_test: 1203.2, Learning rate:0.00069753
Epoch: 20, Loss: 7.8213, Rmse_valid: 9.0572, valid_score: 6651.3, , rmse_test: 14.6794, score_test: 1106.9, Learning rate:0.00060030
Epoch: 21, Loss: 7.6927, Rmse_valid: 9.4261, valid_score: 7084.8, , rmse_test: 14.3714, score_test: 864.0, Learning rate:0.00050750
Epoch: 22, Loss: 7.5595, Rmse_valid: 8.9391, valid_score: 6533.5, , rmse_test: 14.5734, score_test: 1040.0, Learning rate:0.00042015
Epoch: 23, Loss: 7.4643, Rmse_valid: 9.2619, valid_score: 6376.0, , rmse_test: 14.3789, score_test: 957.5, Learning rate:0.00033922
Epoch: 24, Loss: 7.3921, Rmse_valid: 9.0344, valid_score: 6594.0, , rmse_test: 14.3936, score_test: 1013.3, Learning rate:0.00026557
Epoch: 25, Loss: 7.3121, Rmse_valid: 9.3331, valid_score: 7555.0, , rmse_test: 14.5287, score_test: 1024.7, Learning rate:0.00020003
Epoch: 26, Loss: 7.2611, Rmse_valid: 9.2636, valid_score: 7196.7, , rmse_test: 14.4166, score_test: 989.8, Learning rate:0.00014330
Epoch: 27, Loss: 7.2076, Rmse_valid: 9.3770, valid_score: 7572.8, , rmse_test: 14.5344, score_test: 950.1, Learning rate:0.00009602
Epoch: 28, Loss: 7.1746, Rmse_valid: 9.2498, valid_score: 7500.7, , rmse_test: 14.4301, score_test: 972.1, Learning rate:0.00005870
Epoch: 29, Loss: 7.1520, Rmse_valid: 9.2582, valid_score: 7226.8, , rmse_test: 14.2876, score_test: 908.0, Learning rate:0.00003174
Epoch: 30, Loss: 7.1397, Rmse_valid: 9.2711, valid_score: 7226.1, , rmse_test: 14.3170, score_test: 927.6, Learning rate:0.00001545
