dataset	method	seed	rmse_final	score_final	log_file
FD001	A	2	15.2895393372	517.9869384766	/CMAPSS-release/logs/FD001_FD001_A/seed2/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_001854_seed2.log
FD001	A	17	14.4851646423	313.5351257324	/CMAPSS-release/logs/FD001_FD001_A/seed17/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002108_seed17.log
FD001	A	27	14.0609388351	307.1683044434	/CMAPSS-release/logs/FD001_FD001_A/seed27/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002313_seed27.log
FD001	A	30	14.7295627594	369.5175476074	/CMAPSS-release/logs/FD001_FD001_A/seed30/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002522_seed30.log
FD001	A	33	14.9036903381	397.1337280273	/CMAPSS-release/logs/FD001_FD001_A/seed33/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002730_seed33.log
FD001	A	51	14.7006807327	359.2142944336	/CMAPSS-release/logs/FD001_FD001_A/seed51/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002942_seed51.log
FD001	A	62	14.2355184555	349.4866638184	/CMAPSS-release/logs/FD001_FD001_A/seed62/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003151_seed62.log
FD001	A	80	13.1480035782	281.0731201172	/CMAPSS-release/logs/FD001_FD001_A/seed80/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003412_seed80.log
FD001	A	88	14.7678699493	372.2259216309	/CMAPSS-release/logs/FD001_FD001_A/seed88/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003633_seed88.log
FD001	A	97	15.2023029327	407.6669921875	/CMAPSS-release/logs/FD001_FD001_A/seed97/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003856_seed97.log
FD001	B	2	14.1668624878	329.3725280762	/CMAPSS-release/logs/FD001_FD001_B/seed2/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004115_seed2.log
FD001	B	17	14.3857564926	318.6533813477	/CMAPSS-release/logs/FD001_FD001_B/seed17/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004357_seed17.log
FD001	B	27	15.2892112732	423.6536865234	/CMAPSS-release/logs/FD001_FD001_B/seed27/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004631_seed27.log
FD001	B	30	14.9846582413	368.8104248047	/CMAPSS-release/logs/FD001_FD001_B/seed30/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004905_seed30.log
FD001	B	33	13.3921623230	313.7502746582	/CMAPSS-release/logs/FD001_FD001_B/seed33/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005137_seed33.log
FD001	B	51	13.6601610184	304.4079589844	/CMAPSS-release/logs/FD001_FD001_B/seed51/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005409_seed51.log
FD001	B	62	13.6645526886	330.2045593262	/CMAPSS-release/logs/FD001_FD001_B/seed62/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005652_seed62.log
FD001	B	80	15.0216512680	351.6766357422	/CMAPSS-release/logs/FD001_FD001_B/seed80/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005949_seed80.log
FD001	B	88	13.5436325073	381.1639099121	/CMAPSS-release/logs/FD001_FD001_B/seed88/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_010230_seed88.log
FD001	B	97	14.3185195923	327.3755493164	/CMAPSS-release/logs/FD001_FD001_B/seed97/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_010522_seed97.log
