embed_dim	topk	best_rmse_test	best_score_test	best_epoch	log_file
8	3	14.5306	673.4000	9	logs/train_log_FD003_20260407_1601.txt
8	5	14.2026	830.5000	8	logs/train_log_FD003_20260407_1603.txt
8	7	14.9015	860.5000	4	logs/train_log_FD003_20260407_1604.txt
16	3	14.7947	716.2000	20	logs/train_log_FD003_20260407_1606.txt
16	5	14.6816	763.0000	9	logs/train_log_FD003_20260407_1607.txt
16	7	14.8119	940.2000	9	logs/train_log_FD003_20260407_1609.txt
