embed_dim	topk	best_rmse_test	best_score_test	best_epoch	log_file
8	3	13.7656	258.0000	4	logs/train_log_FD001_20260407_1451.txt
8	5	13.4231	303.5000	5	logs/train_log_FD001_20260407_1453.txt
8	7	13.8228	323.3000	7	logs/train_log_FD001_20260407_1454.txt
16	3	14.6773	374.5000	8	logs/train_log_FD001_20260407_1456.txt
16	5	15.0553	399.7000	10	logs/train_log_FD001_20260407_1457.txt
16	7	14.1237	337.4000	5	logs/train_log_FD001_20260407_1458.txt
